survey_id,account_id,score,comment,survey_date
NPS00375,ACCT0002,5,Detail give form direction describe ground here over night.,2024-11-28
NPS00376,ACCT0161,10,Them interesting myself key mention rise.,2025-06-05
NPS00377,ACCT0259,0,Rather stuff movie fine dog cup town site tough majority.,2025-05-09
NPS00378,ACCT0160,10,Least attorney mean college result something card.,2025-07-13
NPS00379,ACCT0227,1,Down practice produce remain base type exist determine a class.,2025-04-30
NPS00380,ACCT0118,9,Increase create thought from Democrat seven near.,2024-12-07
NPS00381,ACCT0130,3,They head model girl future rule.,2025-02-16
NPS00382,ACCT0084,3,Beautiful down environmental research often.,2024-11-16
NPS00383,ACCT0144,2,Nor suffer figure term medical most decade through task outside.,2025-04-12
NPS00384,ACCT0284,0,Crime west consider white its walk already sure.,2025-07-14
NPS00385,ACCT0259,0,Grow weight outside hold store above score.,2025-05-26
NPS00386,ACCT0154,8,Exactly may director style sing at.,2025-09-05
NPS00387,ACCT0169,5,What quickly provide safe medical study where environmental story feel.,2025-08-21
NPS00388,ACCT0173,0,Describe likely simply nearly shake budget like.,2025-05-14
NPS00389,ACCT0166,3,Only tonight attention the.,2025-05-12
NPS00390,ACCT0191,2,Him others reality indicate fact.,2025-06-18
NPS00391,ACCT0035,6,Summer painting general price side stop player stand.,2025-05-24
NPS00392,ACCT0170,6,Do east the despite school somebody somebody black against thus.,2024-12-22
NPS00393,ACCT0134,0,Think doctor probably expect.,2025-04-21
NPS00394,ACCT0202,8,Hand eat whole across born expect political hour.,2025-06-03
NPS00395,ACCT0291,0,Quality crime court region reveal.,2025-06-22
NPS00396,ACCT0060,10,Land professional collection sister seek usually brother rock.,2025-05-26
NPS00397,ACCT0210,8,What inside indicate effect challenge decide enjoy information life maintain.,2025-04-19
NPS00398,ACCT0272,7,Recently life product less need fire less them material.,2025-06-07
NPS00399,ACCT0160,7,Sense clearly about chair woman find certainly.,2025-08-27
